"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
clomipramine_start_date,case_report_form,,text,"Clomipramine (Anafranil): Start date",,,date_ymd,,,,"[what_psych_meds(12)] = '1'",,,,,,
clomipramine_end_date,case_report_form,,text,"Clomipramine (Anafranil): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(12)] = '1'",,,,,,
desipramine_start_date,case_report_form,,text,"Desipramine (Norpramin): Start date",,,date_ymd,,,,"[what_psych_meds(13)] = '1'",,,,,,
desipramine_end_date,case_report_form,,text,"Desipramine (Norpramin): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(13)] = '1'",,,,,,
doxepin_start_date,case_report_form,,text,"Doxepin: Start date",,,date_ymd,,,,"[what_psych_meds(14)] = '1'",,,,,,
doxepin_end_date,case_report_form,,text,"Doxepin: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(14)] = '1'",,,,,,
imipramine_start_date,case_report_form,,text,"Imipramine (Tofranil): Start date",,,date_ymd,,,,"[what_psych_meds(15)] = '1'",,,,,,
imipramine_end_date,case_report_form,,text,"Imipramine (Tofranil): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(15)] = '1'",,,,,,
nortriptyline_start_date,case_report_form,,text,"Nortriptyline (Pamelor): Start date",,,date_ymd,,,,"[what_psych_meds(16)] = '1'",,,,,,
nortriptyline_end_date,case_report_form,,text,"Nortriptyline (Pamelor): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(16)] = '1'",,,,,,
protriptyline_start_date,case_report_form,,text,"Protriptyline: Start date",,,date_ymd,,,,"[what_psych_meds(17)] = '1'",,,,,,
protriptyline_end_date,case_report_form,,text,"Protriptyline: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(17)] = '1'",,,,,,
trimipramine_start_date,case_report_form,,text,"Trimipramine (Surmontil): Start date",,,date_ymd,,,,"[what_psych_meds(18)] = '1'",,,,,,
trimipramine_end_date,case_report_form,,text,"Trimipramine (Surmontil): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(18)] = '1'",,,,,,
isocarboxazid_start_date,case_report_form,,text,"Isocarboxazid (Marplan): Start date",,,date_ymd,,,,"[what_psych_meds(19)] = '1'",,,,,,
isocarboxazid_end_date,case_report_form,,text,"Isocarboxazid (Marplan): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(19)] = '1'",,,,,,
phenelzine_start_date,case_report_form,,text,"Phenelzine (Nardil): Start date",,,date_ymd,,,,"[what_psych_meds(20)] = '1'",,,,,,
phenelzine_end_date,case_report_form,,text,"Phenelzine (Nardil): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(20)] = '1'",,,,,,
selegiline_start_date,case_report_form,,text,"Selegiline (Emsam): Start date",,,date_ymd,,,,"[what_psych_meds(21)] = '1'",,,,,,
selegiline_end_date,case_report_form,,text,"Selegiline (Emsam): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(21)] = '1'",,,,,,
tranylcypromine_start_date,case_report_form,,text,"Tranylcypromine (Parnate): Start date",,,date_ymd,,,,"[what_psych_meds(22)] = '1'",,,,,,
tranylcypromine_end_date,case_report_form,,text,"Tranylcypromine (Parnate): End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(22)] = '1'",,,,,,
maprotiline_start_date,case_report_form,,text,"Maprotiline: Start date",,,date_ymd,,,,"[what_psych_meds(23)] = '1'",,,,,,
maprotiline_end_date,case_report_form,,text,"Maprotiline: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(23)] = '1'",,,,,,
bupropion_start_date,case_report_form,,text,"Bupropion: Start date",,,date_ymd,,,,"[what_psych_meds(24)] = '1'",,,,,,
bupropion_end_date,case_report_form,,text,"Bupropion: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(24)] = '1'",,,,,,
vilazodone_start_date,case_report_form,,text,"Vilazodone: Start date",,,date_ymd,,,,"[what_psych_meds(25)] = '1'",,,,,,
vilazodone_end_date,case_report_form,,text,"Vilazodone: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(25)] = '1'",,,,,,
vortioxetine_start_date,case_report_form,,text,"Vortioxetine: Start date",,,date_ymd,,,,"[what_psych_meds(26)] = '1'",,,,,,
vortioxetine_end_date,case_report_form,,text,"Vortioxetine: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(26)] = '1'",,,,,,
list_other_psych_med,case_report_form,,text,"Other: identify ""other"" medication name",,,,,,,"[what_psych_meds(27)] = '1'",,,,,,
other_start_date,case_report_form,,text,"Other: Start date ",,,date_ymd,,,,"[what_psych_meds(27)] = '1'",,,,,,
other_end_date,case_report_form,,text,"Other: End date (leave blank if currently taking)",,,date_ymd,,,,"[what_psych_meds(27)] = '1'",,,,,,
age_first_drivers_license,driving_survey,"Thank you for being a part of our study.  To start we have a few questions about your thoughts on and experiences with driving.",text,"At what age did you first get a driver's license?",,,,,,,,,,,,,
how_freq_drive_avg,driving_survey,,radio,"How frequently do you drive, on average? (Choose the one option that best applies)","0, Every day | 1, A few times a week | 2, Once a week | 3, A few times a month | 4, Once a month | 5, A few times a year | 6, Not at all",,,,,,,,,,,,
and_about_how_many_miles_p,driving_survey,,radio,"And about how many miles per week do you drive in general?","0, Less than 50 miles per week | 1, 50 to 100 miles per week | 2, 101 to 200 miles per week | 3, 201 to 300 miles per week | 4, More than 300 miles per week",,,,,,,,,,,,
are_you_driving_more_less,driving_survey,,radio,"Are you driving more, less, or about the same today than you were a year ago?","0, More | 1, Less | 2, About the same [SKIP TO Q6]",,,,,,,,,,,,
why_are_you_driving_more_o,driving_survey,,notes,"Why are you driving more or less today than you were a year ago?",,,,,,,,,,,,,
which_of_the_following_app,driving_survey,,radio,"Which of the following applies to you?","0, I currently have a valid driver's license | 1, I previously had a driver's license but it is currently suspended or revoked | 2, I currently have a driver's permit but do not have a valid driver's license | 3, I do not have either a driver's permit or a valid driver's license",,,,,,,,,,,,
please_rate_the_frequency,driving_survey,"Next we have a few questions about more specific aspects of driving.  As always there are no right or wrong answers -- just respond as well as you can.  It's very helpful information for us.

And please remember that any information you provide will be kept strictly confidential, and NOT be used by your healthcare provider, or anyone, to inform decisions about your care or your fitness to drive.  We appreciate you answering them as best and accurately as you can.
",descriptive,"Please rate the frequency with which you engage in the following driving behaviors:",,,,,,,,,,,,,
i_maintain_a_large_distanc,driving_survey,,radio,"I maintain a large distance between myself and the driver in front of me
","0, Never | 1, Very Infrequently | 2, Sometimes | 3, Frequently | 4, Always",,,,,,,,,,,,
i_try_to_stay_away_from_ot,driving_survey,,radio,"I try to stay away from other cars
","0, Never | 1, Very Infrequently | 2, Sometimes | 3, Frequently | 4, Always",,,,,,,,,,,,
i_decrease_my_speed_until,driving_survey,,radio,"I decrease my speed until I feel comfortable
","0, Never | 1, Very Infrequently | 2, Sometimes | 3, Frequently | 4, Always",,,,,,,,,,,,
i_maintain_my_speed_in_ord,driving_survey,,radio,"I maintain my speed in order to calm myself down
","0, Never | 1, Very Infrequently | 2, Sometimes | 3, Frequently | 4, Always",,,,,,,,,,,,
during_bad_weather_i_drive,driving_survey,,radio,"During bad weather, I drive more cautiously than other vehicles on the road","0, Never | 1, Very Infrequently | 2, Sometimes | 3, Frequently | 4, Always",,,,,,,,,,,,
slow_down_approach_inter,driving_survey,,radio,"I slow down when approaching intersections even when the light is green","0, Never | 1, Very Infrequently | 2, Sometimes | 3, Frequently | 4, Always",,,,,,,,,,,,
rain,driving_survey,"Please indicate how comfortable you are driving in the following conditions?
",radio,"Rain
","0, Not at all comfortable | 1, Moderately comfortable | 2, Very comfortable",,,,,,,,,,,,
merging,driving_survey,,radio,"Merging
","0, Not at all comfortable | 1, Moderately comfortable | 2, Very comfortable",,,,,,,,,,,,
busy_roads,driving_survey,,radio,"Busy Roads
","0, Not at all comfortable | 1, Moderately comfortable | 2, Very comfortable",,,,,,,,,,,,
driving_after_dark,driving_survey,,radio,"Driving After Dark","0, Not at all comfortable | 1, Moderately comfortable | 2, Very comfortable",,,,,,,,,,,,
roundabouts,driving_survey,,radio,"Roundabouts
","0, Not at all comfortable | 1, Moderately comfortable | 2, Very comfortable",,,,,,,,,,,,
last_time_in_accident,driving_survey," ",radio,"Regardless of who was ""at fault,"" when was the last time you were involved in a motor vehicle collision while you were driving? 
(Provide the best answer choice)
","0, Less than 1 year ago | 1, Less than 2 years ago | 2, Less than 3 years ago | 3, Less than 5 years ago | 4, Less than 10 years ago | 5, More than 10 years ago | 6, I was never involved in a collision while driving",,,,,,,,,,,,
in_accident_injured,driving_survey,,radio,"Thinking about the last 12 months, have you been involved in any traffic accidents where you were the driver and received injuries that required medical attention from someone else (e.g., a first aider, physician, or nurse)?","0, Yes | 1, No",,,,,,,,,,,,
in_accident_not_injured,driving_survey,,radio,"Thinking about the last 12 months, have you been involved in any traffic accidents where you were the driver but were not injured?","0, Yes | 1, No",,,,,,,,,,,,
last_time_moving_viol,driving_survey,,radio,"When was the last time you received a moving violation or traffic citation (e.g., Speeding, failure to stop at a stop sign, or red light, etc.)?","0, In the past year | 1, In the past 2 years | 2, In the past 3 years | 3, In the past 5 years | 4, In the past 10 years | 5, More than 10 years ago | 6, I have never received a moving violation or traffic citation [SKIP TO Q14]",,,,,,,,,,,,
kind_of_moving_viol,driving_survey,,checkbox,"If you did receive a moving violation above, what kind was it? 
(Select all that apply)
","0, Speeding | 1, Failure to stop at a ""stop"" sign | 2, Failure to stop at a red light | 3, Cell phone use while driving (talking or texting)",,,,,,,,,,,,
has_driving_license_susp,driving_survey,,radio,"Has your driving license ever been suspended (including for medical review)?","0, Yes | 1, No | 2, Prefer not to say",,,,,,,,,,,,
try_to_pass_another_car_th,driving_survey,"Here are common things that drivers do. Please indicate how often, if at all, each of them has happened to you while you were driving.",radio,"Try to pass another car that is signaling a left turn","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
select_the_wrong_turn_lane,driving_survey,,radio,"Select the wrong turn lane when approaching an intersection","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
fail_to_stop_or_yield_at_a,driving_survey,,radio,"Fail to 'Stop' or 'Yield' at a sign, almost hitting a car that has the right of way","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
misread_signs_and_miss_you,driving_survey,,radio,"Misread signs and miss your exit
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
fail_to_notice_pedestrian,driving_survey,,radio,"Fail to notice pedestrian crossing when turning onto a side street
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
drive_very_close_to_a_car,driving_survey,,radio,"Drive very close to a car in front of you as a signal that they should go faster or get out of the way","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
forget_where_you_parked_yo,driving_survey,,radio,"Forget where you parked your car in a parking lot
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
when_preparing_to_turn_fro,driving_survey,,radio,"When preparing to turn from a side road onto a main road you nearly hit the car in front of you
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
when_you_back_up_you_hit_s,driving_survey,,radio,"When you back up, you hit something that you did not observe before but was there
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
pass_through_an_intersecti,driving_survey,,radio,"Pass through an intersection even though you know that the traffic light has turned yellow and may go red
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
when_making_a_turn_you_alm,driving_survey,,radio,"When making a turn, you almost hit a cyclist or pedestrian who has come up on your right side","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
forget_that_your_lights_ar,driving_survey,,radio,"Forget that your lights are on high beam until another driver flashes his headlights at you","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
fail_to_check_your_rear_vi,driving_survey,,radio,"Fail to check your rear-view mirror before pulling out and changing lanes","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
have_a_strong_dislike_of_a,driving_survey,,radio,"Have a strong dislike of a particular type of driver, and indicate your dislike by any means you can","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
become_impatient_with_a_sl,driving_survey,,radio,"Become impatient with a slow driver in the left lane and pass on the right","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
underestimate_the_speed_of,driving_survey,,radio,"Underestimate the speed of an oncoming vehicle when passing","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
switch_on_one_thing_for_ex,driving_survey,,radio,"Switch on one thing, for example, the headlights, when you meant to switch on something else, for example the windshield wipers
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
brake_too_quickly_on_slipp,driving_survey,,radio,"Brake too quickly on slippery road, or turn your steering wheel in the wrong direction while skidding","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
you_intend_to_drive_to_des,driving_survey,,radio,"You intend to drive to destination A, but you 'wake up' to find yourself on the road to destination B, perhaps because B is your usual destination
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
drive_even_though_you_real,driving_survey,,radio,"Drive even though you realize that your blood alcohol may be over the legal limit
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
get_involved_in_spontaneou,driving_survey,,radio,"Get involved in spontaneous, or spur-of-the-moment, races with other drivers
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
realize_that_you_cannot_cl,driving_survey,,radio,"Realize that you cannot clearly remember the road you were just driving on","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
you_get_angry_at_the_behav,driving_survey,,radio,"You get angry at the behavior of another driver and you chase that driver so that you can give him/her a piece of your mind
","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
ignore_speed_limits_late_a,driving_survey,,radio,"Ignore speed limits late at night or very early in the morning","0, Never | 1, Hardly ever | 2, Occasionally | 3, Quite often | 4, Frequently | 5, Nearly all the time",,,,,,,,,,,,
how_much_difficulty_do_you,driving_survey,"These next questions are specifically about your vision when driving.
",radio,"How much difficulty do you have seeing due to the glare from your windshield when the sun is low in the sky?
","0, No difficulty | 1, A little difficulty | 2, Some difficulty | 3, A lot of difficulty | 4, Extreme difficulty",,,,,,,,,,,,
when_driving_at_night_how,driving_survey,,radio,"When driving at night, how much are you bothered by the properly dimmed headlights of oncoming cars?
","0, Not at all | 1, A little bit | 2, Moderately | 3, Quite a bit | 4, Extremely",,,,,,,,,,,,
how_often_when_you_are_dri,driving_survey,,radio,"How often when you are driving and looking straight ahead, do other vehicles seem to come into your peripheral or side vision unexpectedly?
","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always",,,,,,,,,,,,
when_merging_into_traffic,driving_survey,,radio,"When merging into traffic, how often are you ""surprised"" by a vehicle that you didn't notice until it was quite close to you?","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always",,,,,,,,,,,,
while_looking_ahead_whethe,driving_survey,,radio,"While looking ahead, whether driving or not, how much difficulty do you have noticing things off to the side?
","0, No difficulty | 1, A little difficulty | 2, Some difficulty | 3, A lot of difficulty | 4, Extreme difficulty",,,,,,,,,,,,
difficulty_seeing_lane_lines,driving_survey,,radio,"How much difficulty do you have seeing lane lines and other pavement markings, curbs and medians, and other vehicles and pedestrians at dawn or dusk, or at night?","0, No difficulty | 1, A little difficulty | 2, Some difficulty | 3, A lot of difficulty | 4, Extreme difficulty",,,,,,,,,,,,
are_you_able_to_see_or_rea,driving_survey,"Next up we have a few questions about your health and well-being.
",radio,"Are you able to see or read newspaper print with or without glasses?","0, Yes | 1, No",,,,,,,,,,,,
on_an_average_night_how_ma,driving_survey,,radio,"On an average night, how many hours of sleep do you get?
","0, 4 or less hours | 1, 5 hours | 2, 6 hours | 3, 7 hours | 4, 8 hours | 5, 9 hours | 6, 10 or more hours",,,,,,,,,,,,
please_indicate_how_much_y,driving_survey,,radio,"Please indicate how much you agree or disagree with the following statement: 

Today, I feel rested and alert
","0, Strongly agree | 1, Somewhat agree | 2, Somewhat disagree | 3, Strongly disagree",,,,,,,,,,,,
for_each_of_the_following,driving_survey,"Lastly we have a couple of questions about how you think about yourself, and how you like to spend your leisure time.
",descriptive,"For each of the following statements, please tell me if you strongly agree, somewhat agree, somewhat disagree or strongly disagree.",,,,,,,,,,,,,
i_like_to_explore_strange,driving_survey,,radio,"I like to explore strange places.","0, Strongly agree | 1, Somewhat agree | 2, Somewhat disagree | 3, Strongly disagree",,,,,,,,,,,,
i_like_to_do_frightening_t,driving_survey,,radio,"I like to do frightening things.","0, Strongly agree | 1, Somewhat agree | 2, Somewhat disagree | 3, Strongly disagree",,,,,,,,,,,,
i_like_new_and_exciting_ex,driving_survey,,radio,"I like new and exciting experiences, even if I have to break the rules.","0, Strongly agree | 1, Somewhat agree | 2, Somewhat disagree | 3, Strongly disagree",,,,,,,,,,,,
i_like_friends_who_are_exc,driving_survey,,radio,"I like friends who are exciting and unpredictable.
","0, Strongly agree | 1, Somewhat agree | 2, Somewhat disagree | 3, Strongly disagree",,,,,,,,,,,,
read,driving_survey,"How many hours PER WEEK do you...?",radio,Read,"0, Never | 1, Less than one hour | 2, 1 - 3 hours | 3, 4 - 8 hours | 4, 9 - 12 hours | 5, More than 12 hours",,,,,,,,,,,,
play_computer_games,driving_survey,,radio,"Play computer games","0, Never | 1, Less than one hour | 2, 1 - 3 hours | 3, 4 - 8 hours | 4, 9 - 12 hours | 5, More than 12 hours",,,,,,,,,,,,
exercise,driving_survey,,radio,Exercise,"0, Never | 1, Less than one hour | 2, 1 - 3 hours | 3, 4 - 8 hours | 4, 9 - 12 hours | 5, More than 12 hours",,,,,,,,,,,,
talk_with_friends_or_famil,driving_survey,,radio,"Talk with friends or family","0, Never | 1, Less than one hour | 2, 1 - 3 hours | 3, 4 - 8 hours | 4, 9 - 12 hours | 5, More than 12 hours",,,,,,,,,,,,
and_the_survey_is_done_tha,driving_survey,,descriptive,"And the survey is done!  Thank you again for your answers.
",,,,,,,,,,,,,
also_driving_assessment,comprehensive_neuropsych_assessment_328741,,yesno,"Is patient also completing the driving assessment?",,,,,,,,y,,,,,
dateofnp,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>Date of Neuropsychological Assessment</p> <p><span style=""font-weight: normal;"">If administered over multiple days, use the first date here. In the comments, note 1) that tests were administered over multiple days and 2) the duration of time between test days.</span></p></div>",,,date_mdy,2013-01-01,,y,,y,,,,,
validity,comprehensive_neuropsych_assessment_328741,,radio,Validity,"1, The entire assessment is VALID | 2, The assessment is valid overall, but specific measure(s) is/are invalid; specify below | 3, The entire assessment is INVALID",,,,,,,y,,,,,
validitycomments,comprehensive_neuropsych_assessment_328741,,text,"<div class=""rich-text-field-label""><p>Which measures are invalid?<br /><br /><span style=""font-weight: normal;"">Note: Do NOT enter data for these measures in the database.</span></p></div>",,,,,,,"[validity] = '2'",y,,,,,
npcomments,comprehensive_neuropsych_assessment_328741,,notes,Comments:,,,,,,,,,,,,,
agenp,comprehensive_neuropsych_assessment_328741,"Demographic Data",text,"Age (years)",,,integer,18,99,,,y,,,,,
educationnp,comprehensive_neuropsych_assessment_328741,,text,"Education (years)",,,integer,0,22,,,y,,,,,
educationnpcomments,comprehensive_neuropsych_assessment_328741,,text,"Education comments:",,,,,,,,,,,,,
gendernp,comprehensive_neuropsych_assessment_328741,,radio,Gender,"1, Man | 2, Woman | 3, Transgender; specify below | 4, Other; specify below",,,,,,,y,,,,,
gendernpspecify,comprehensive_neuropsych_assessment_328741,,text,"If transgender or other gender, specify:",,,,,,,"[gendernp] = '3' or [gendernp] = '4'",y,,,,,
racenp,comprehensive_neuropsych_assessment_328741,,radio,Race/ethnicity,"1, White (not Hispanic) | 2, Black/African American (not Hispanic) | 3, Hispanic/Latino (of any race) | 4, Other; specify below",,,,,,,y,,,,,
racenpspecify,comprehensive_neuropsych_assessment_328741,,text,"If other race or ethnicity, specify:",,,,,,,"[racenp] = '4'",y,,,,,
ldsfwais4,comprehensive_neuropsych_assessment_328741,"WAIS-IV Digit Span",text,"Longest Digit Span Forward (LDSF)",,,integer,0,9,,,y,LV,,,,
digitsforwardwais4,comprehensive_neuropsych_assessment_328741,,text,"Digit Span Forward (DSF) Total Raw Score",,,integer,0,16,,,y,,,,,
ldsbwais4,comprehensive_neuropsych_assessment_328741,,text,"Longest Digit Span Backward (LDSB)",,,integer,0,8,,,y,LV,,,,
digitsbackwardwais4,comprehensive_neuropsych_assessment_328741,,text,"Digit Span Backward (DSB) Total Raw Score",,,integer,0,16,,,y,,,,,
ldsswais4,comprehensive_neuropsych_assessment_328741,,text,"Longest Digit Span Sequencing (LDSS)",,,integer,0,9,,,y,LV,,,,
digitssequencingwais4,comprehensive_neuropsych_assessment_328741,,text,"Digit Span Sequencing (DSS) Total Raw Score",,,integer,0,16,,,y,,,,,
wrat4reading,comprehensive_neuropsych_assessment_328741,WRAT4,text,"<div class=""rich-text-field-label""><p>WRAT4 Word Reading Total Raw Score (/70)<br /><br /><span style=""font-weight: normal;"">Note: This is the sum of the Letter Reading Raw Score (/15) and the Word Reading Raw Score (/55).</span></p></div>",,,integer,0,70,,,y,,,,,
letterfluencyf_q1,comprehensive_neuropsych_assessment_328741,"Letter Fluency: F",text,"Letter Fluency F: First Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencyf_q2,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency F: Second Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencyf_q3,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency F: Third Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencyf_q4,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency F: Fourth Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencyf_intr,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency F: Total Set-Loss Errors (Intrusions)",,,integer,0,25,,,y,,,,,
letterfluencyf_pers,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency F: Total Repetition Errors (Perseverations)",,,integer,0,25,,,y,,,,,
letterfluencya_q1,comprehensive_neuropsych_assessment_328741,"Letter Fluency: A",text,"Letter Fluency A: First Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencya_q2,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency A: Second Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencya_q3,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency A: Third Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencya_q4,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency A: Fourth Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencya_intr,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency A: Total Set-Loss Errors (Intrusions)",,,integer,0,25,,,y,,,,,
letterfluencya_pers,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency A: Total Repetition Errors (Perseverations)",,,integer,0,25,,,y,,,,,
letterfluencys_q1,comprehensive_neuropsych_assessment_328741,"Letter Fluency: S",text,"Letter Fluency S: First Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencys_q2,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency S: Second Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencys_q3,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency S: Third Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencys_q4,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency S: Fourth Interval Correct",,,integer,0,25,,,y,,,,,
letterfluencys_intr,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency S: Total Set-Loss Errors (Intrusions)",,,integer,0,25,,,y,,,,,
letterfluencys_pers,comprehensive_neuropsych_assessment_328741,,text,"Letter Fluency S: Total Repetition Errors (Perseverations)",,,integer,0,25,,,y,,,,,
letterfluencycheck,comprehensive_neuropsych_assessment_328741,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">CHECK LETTER FLUENCY DATA ENTRY. Errors outnumber correct items, suggesting data may have been entered incorrectly.</span></p></div>",,,,,,,"mean([letterfluencyf_intr],[letterfluencyf_pers],
        [letterfluencya_intr],[letterfluencya_pers])
>
mean([letterfluencys_q1],[letterfluencys_q2],
        [letterfluencys_q3],[letterfluencys_q4])",,,,,,
categoryfluency_q1,comprehensive_neuropsych_assessment_328741,"Category Fluency: Animals",text,"Category (Animal) Fluency: First Interval Correct",,,integer,0,25,,,y,,,,,
categoryfluency_q2,comprehensive_neuropsych_assessment_328741,,text,"Category (Animal) Fluency: Second Interval Correct",,,integer,0,25,,,y,,,,,
categoryfluency_q3,comprehensive_neuropsych_assessment_328741,,text,"Category (Animal) Fluency: Third Interval Correct",,,integer,0,25,,,y,,,,,
categoryfluency_q4,comprehensive_neuropsych_assessment_328741,,text,"Category (Animal) Fluency: Fourth Interval Correct",,,integer,0,25,,,y,,,,,
categoryfluency_intr,comprehensive_neuropsych_assessment_328741,,text,"Category (Animal) Fluency: Total Set-Loss Errors (Intrusions)",,,integer,0,25,,,y,,,,,
categoryfluency_pers,comprehensive_neuropsych_assessment_328741,,text,"Category (Animal) Fluency: Total Repetition Errors (Perseverations)",,,integer,0,25,,,y,,,,,
stroopword,comprehensive_neuropsych_assessment_328741,"Stroop Test",text,"Stroop Word",,,integer,0,200,,,y,,,,,
stroopcolor,comprehensive_neuropsych_assessment_328741,,text,"Stroop Color",,,integer,0,200,,,y,,,,,
stroopcolorword,comprehensive_neuropsych_assessment_328741,,text,"Stroop Color Word",,,integer,0,200,,,y,,,,,
traila,comprehensive_neuropsych_assessment_328741,"Trail Making Test",text,"Trail Making Test A time (seconds)",,,number,0,180,,,y,,,,,
trailb,comprehensive_neuropsych_assessment_328741,,text,"Trail Making Test B time (seconds)",,,number,0,300,,,y,,,,,
groovedpegdom,comprehensive_neuropsych_assessment_328741,"Grooved Pegboard - Dominant (GPD)",text,"GPD time (seconds)",,,integer,0,240,,,y,,,,,
